6,6,4
6,8,4
6,10,4
8,4,4
6,10,4
8,4,4
8,8,4
6,8,4
6,10,6
6,10,4
6,4,4
6,4,4
8,14,4
8,14,4
8,4,4
6,8,2
6,12,4
8,6,4
8,6,4
8,8,4
6,8,4
8,12,4
8,6,4
10,14,6
8,10,4
6,4,4
8,12,4
6,4,4
8,4,4
6,4,4
6,8,4
8,8,4
8,10,4
8,4,4
8,8,4
6,10,4
6,6,4
8,8,4
6,4,4
6,10,6
6,8,4
8,4,4
8,8,4
8,10,4
6,6,4
6,10,4
8,4,4
6,4,4
8,10,4
6,4,4
6,4,4
6,4,4
8,4,4
6,4,4
6,10,4
8,18,6
8,4,4
8,4,4
8,14,4
8,6,4
4,4,4
8,12,4
6,6,4
8,12,4
6,10,4
6,6,4
6,4,4
8,4,4
6,6,4
6,4,4
8,8,4
8,10,4
8,10,6
8,4,4
6,4,4
6,12,4
6,8,4
6,8,4
6,8,4
6,6,4
8,10,6
8,4,4
6,4,2
8,4,4
8,8,4
8,6,4
8,6,4
8,6,4
6,6,4
8,10,6
8,4,4
8,4,4
6,8,4
6,14,4
8,10,4
6,4,4
8,10,4
8,10,4
6,6,4
8,12,4
8,16,6
8,8,4
10,14,6
8,4,4
8,4,4
6,4,4
10,12,4
8,6,4
8,4,4
6,12,4
8,4,4
6,8,4
8,10,4
8,12,4
8,4,4
8,4,4
6,4,4
8,6,4
8,12,4
8,16,4
8,12,4
6,8,4
6,12,4
6,10,4
6,8,4
8,6,4
6,6,4
6,6,4
10,14,10
8,10,6
8,10,4
8,4,4
8,16,6
8,12,6
6,6,4
6,10,4
8,10,6
6,4,4
6,8,4
8,10,4
8,8,4
8,8,4
6,4,4
8,6,4
6,4,4
6,6,4
8,12,6
6,4,4
6,10,4
6,6,4
8,8,4
8,12,4
6,8,4
6,8,4
8,12,6
6,4,4
6,8,4
6,6,4
6,4,4
8,12,4
8,4,4
6,6,4
8,12,4
6,8,4
8,14,4
6,4,4
10,4,4
8,8,4
8,14,8
6,2,2
6,4,4
6,8,4
6,4,4
6,6,4
6,12,4
8,10,4
8,6,4
6,4,4
6,6,4
8,14,4
8,10,6
6,4,4
6,8,4
6,4,4
6,6,4
6,6,4
8,8,4
6,8,4
8,4,4
8,10,4
8,12,4
8,4,4
6,8,4
8,4,4
8,10,4
6,4,4
6,6,4
6,6,4
6,8,4
8,6,4
6,6,4
6,8,4
8,14,6
6,4,4
8,6,4
10,10,6
10,16,8
6,4,4
8,10,4
8,10,4
6,10,6
8,4,4
10,12,6
8,4,4
6,12,4
6,12,4
6,6,4
6,4,4
8,12,6
8,14,4
6,4,4
6,4,4
6,4,4
8,12,4
8,14,4
8,16,4
8,4,4
10,20,4
8,6,4
8,16,6
8,10,4
6,8,4
8,14,6
6,8,4
6,6,4
6,12,4
6,6,4
6,8,4
10,12,6
6,6,2
8,16,6
6,4,4
6,8,4
6,10,4
8,14,6
8,6,4
6,8,4
8,4,4
8,10,4
6,4,4
6,4,4
8,10,4
8,6,4
6,8,4
6,6,4
8,4,4
8,12,4
10,10,6
8,4,4
8,4,4
4,4,4
6,8,4
6,6,4
8,6,4
6,6,4
8,4,4
6,8,4
6,6,4
6,12,4
6,8,4
6,10,4
4,6,2
6,4,4
8,14,8
8,8,4
8,18,6
6,6,4
6,4,4
8,8,4
6,8,4
8,6,4
6,6,4
8,18,6
6,6,4
8,8,4
6,6,4
10,16,4
8,10,4
6,10,4
6,8,4
8,12,4
4,4,2
8,8,4
8,8,4
6,6,4
8,4,4
6,8,4
6,4,4
8,4,4
8,8,4
8,12,4
8,10,4
8,8,4
6,8,4
6,4,4
8,4,4
8,18,8
10,14,4
8,4,4
8,10,6
6,6,4
6,6,4
8,8,6
8,4,4
8,10,4
6,4,4
6,6,4
8,8,4
8,8,4
6,4,4
6,8,4
6,6,4
6,12,4
8,16,4
8,8,4
6,4,4
8,10,4
8,8,4
8,8,4
8,4,4
8,4,4
6,10,4
10,4,4
6,6,4
8,4,4
6,10,4
8,6,4
6,4,4
8,10,4
6,4,4
10,10,6
8,10,4
6,6,4
6,4,2
6,10,4
8,10,4
6,4,4
6,10,6
8,12,4
6,4,4
8,4,4
6,8,4
8,10,4
6,8,4
6,10,4
8,18,4
6,6,4
8,10,4
6,8,4
6,6,4
6,6,4
6,8,4
10,8,6
8,12,6
6,14,6
8,8,4
8,10,4
8,4,4
6,8,4
8,12,4
10,4,4
8,4,4
6,12,4
10,10,6
8,4,4
6,4,4
8,10,4
6,6,4
10,12,6
4,4,4
8,12,4
8,8,4
6,14,4
6,8,4
8,4,4
6,6,4
6,4,4
6,6,4
6,8,4
8,6,4
8,12,6
8,6,4
6,10,4
8,10,4
8,4,4
6,10,4
8,4,4
6,6,4
8,6,4
8,10,4
8,6,4
6,10,4
4,2,2
6,10,4
8,8,4
8,18,6
6,10,4
8,12,4
6,8,4
8,10,6
8,10,4
8,8,4
8,4,4
8,8,4
8,8,4
6,10,6
6,4,2
8,8,4
6,4,4
8,12,4
8,14,4
6,6,4
8,6,4
8,12,4
8,12,4
6,8,4
8,14,4
6,8,4
6,8,4
6,8,4
8,10,4
6,4,4
8,4,4
6,6,4
6,8,4
8,6,4
8,8,4
6,14,4
8,12,6
8,14,4
8,16,6
8,6,6
6,4,4
8,6,6
8,6,4
6,6,4
8,14,4
8,4,4
8,6,4
8,4,4
8,8,6
8,12,6
8,12,6
8,16,6
8,4,4
8,14,4
8,4,4
8,4,4
8,4,4
6,4,4
8,8,4
6,4,4
4,6,4
8,12,4
6,4,4
6,8,4
8,16,6
8,14,4
8,12,4
6,6,4
8,6,4
6,6,4
8,10,4
6,6,4
6,10,4
8,20,8
8,10,4
6,10,4
6,8,4
8,16,6
8,8,4
8,4,4
8,4,4
8,18,6
10,6,4
8,4,4
8,6,4
8,4,4
6,8,4
6,10,4
6,6,4
8,8,4
8,12,4
8,8,4
8,14,4
6,8,4
8,12,4
6,8,4
8,6,4
8,6,6
6,8,4
8,6,4
8,6,4
6,8,4
8,14,4
8,6,4
6,8,4
6,8,4
6,8,4
6,8,4
6,8,4
8,4,4
8,4,4
8,4,4
6,6,4
6,6,4
8,4,4
6,4,4
8,10,6
8,10,4
8,10,4
6,8,4
6,10,4
6,4,4
10,12,4
6,10,4
8,18,8
8,10,4
8,10,6
6,6,4
8,12,4
6,2,2
8,4,4
6,4,4
6,10,4
8,14,4
6,4,4
8,4,4
8,4,4
8,8,4
10,6,6
8,6,4
8,14,6
6,4,4
6,10,4
8,10,4
6,8,4
6,8,4
6,6,4
6,6,2
6,8,4
6,6,4
6,6,4
6,6,4
6,4,4
8,12,4
8,12,6
8,12,6
6,6,4
6,8,4
6,10,4
6,6,4
6,12,4
6,10,4
6,8,4
6,6,4
6,6,4
8,8,4
6,8,4
8,4,4
6,6,4
8,6,4
10,14,6
6,6,4
6,12,4
6,6,4
8,8,4
8,10,4
8,10,4
8,12,4
8,4,4
8,8,4
6,8,4
8,4,4
8,4,4
6,8,6
8,12,4
8,6,4
8,8,4
8,14,4
8,10,6
6,10,4
6,8,4
6,8,4
6,4,4
6,4,4
8,4,4
6,8,4
10,18,6
10,10,4
6,6,4
8,4,4
6,10,4
8,12,6
8,6,4
8,8,4
6,6,4
6,10,4
6,4,4
8,6,4
4,12,4
8,12,4
8,14,6
6,4,4
8,10,4
8,6,4
6,4,4
6,4,4
10,12,4
10,14,4
8,8,4
8,14,4
8,4,4
8,14,4
6,8,4
6,10,4
6,4,4
8,4,4
8,12,6
6,8,4
8,6,4
6,4,4
6,6,4
6,8,4
8,6,4
6,4,4
8,12,6
8,18,4
8,4,4
8,12,6
8,14,4
8,4,4
8,4,4
6,8,4
6,4,4
6,4,4
6,4,4
8,10,4
6,4,4
6,10,4
6,10,4
6,6,4
8,6,4
8,18,4
6,10,4
6,12,4
6,6,4
8,10,4
6,8,4
8,8,4
8,10,4
8,4,4
8,10,4
8,8,4
4,4,4
6,10,4
6,6,4
8,14,6
8,4,4
6,6,4
10,10,6
10,8,4
8,6,4
8,12,4
8,14,6
6,10,6
8,4,4
6,8,4
8,6,4
8,10,6
6,10,4
6,4,4
8,6,4
6,6,4
6,6,4
6,10,4
8,4,4
6,6,4
6,4,4
4,8,4
8,12,4
6,12,4
6,6,4
6,4,4
6,4,4
6,4,4
8,4,4
8,10,6
8,8,4
6,4,4
6,4,4
8,10,6
8,12,4
8,4,4
8,12,4
8,8,4
8,4,4
6,8,4
8,14,6
8,8,6
10,4,4
8,14,4
6,4,4
4,4,4
10,12,6
6,4,4
6,8,4
8,10,4
8,8,4
4,4,4
6,4,4
8,6,4
8,8,4
6,6,2
6,8,4
6,10,4
8,18,4
6,6,4
6,8,4
8,4,4
8,10,4
4,10,4
6,10,4
6,4,4
8,12,4
8,10,4
6,10,4
8,6,4
6,10,4
8,4,4
8,4,4
6,4,4
6,4,4
8,6,4
6,6,4
4,4,4
4,8,4
6,4,4
8,10,4
6,10,4
8,12,4
8,6,4
6,4,4
8,6,4
6,10,4
8,6,4
6,6,4
6,6,4
6,6,4
6,8,4
8,4,4
8,4,4
6,4,4
8,6,4
6,6,4
6,6,4
6,6,4
10,8,4
8,6,4
8,4,4
6,8,4
8,6,4
8,10,4
8,4,4
6,6,4
4,8,4
4,10,4
8,6,4
10,6,4
8,6,4
6,6,4
8,14,4
10,10,4
6,10,4
6,8,4
6,14,6
8,6,4
8,18,8
6,8,4
6,4,4
6,4,4
8,8,4
6,6,4
8,8,4
8,6,4
6,8,4
10,12,6
6,6,4
8,6,4
8,8,4
6,6,4
8,4,4
8,10,4
8,6,4
10,12,6
8,10,4
8,14,4
8,8,6
6,8,4
8,10,4
6,8,4
8,6,4
8,8,4
8,12,4
8,6,4
8,14,6
8,8,4
6,6,4
8,10,4
8,12,4
6,4,4
6,10,4
8,12,6
8,4,4
10,12,4
8,12,6
8,12,6
8,14,6
8,8,4
6,8,4
6,8,4
8,12,6
6,4,4
8,14,4
8,8,4
8,6,4
8,12,6
8,8,4
8,10,4
6,4,4
6,4,4
8,6,4
8,12,6
8,12,4
6,8,4
6,4,4
8,6,4
8,10,4
8,14,4
6,6,4
6,4,2
6,6,4
8,8,4
6,6,4
8,6,4
8,8,6
6,6,4
6,6,4
6,6,4
6,6,4
6,12,4
4,8,4
6,6,4
6,8,4
8,4,4
8,4,4
8,14,4
8,4,4
8,10,4
8,4,4
6,4,4
8,12,6
6,8,4
6,14,4
6,8,4
10,4,4
10,6,4
8,4,4
6,8,4
8,6,4
8,8,6
6,6,4
6,8,4
6,4,4
8,4,4
6,6,4
6,8,4
8,10,4
8,8,4
6,10,4
10,6,6
10,8,4
6,4,4
6,6,2
8,6,4
6,6,2
6,6,4
8,4,4
6,8,4
6,6,4
6,10,4
6,8,4
8,6,4
8,6,6
8,10,4
8,8,4
6,6,4
8,8,4
6,6,4
8,6,2
6,4,4
6,12,4
6,4,4
6,4,4
6,6,4
8,8,4
8,8,4
6,12,4
8,10,4
6,10,4
6,4,4
10,6,4
8,4,4
8,10,4
8,10,4
8,4,4
4,4,4
6,6,4
8,4,4
8,8,4
8,4,4
8,12,4
6,6,4
8,12,4
8,6,4
6,6,4
8,6,4
10,12,4
8,4,4
8,8,4
6,10,4
6,8,4
6,12,4
6,4,4
6,8,4
8,6,4
8,4,4
6,8,4
8,12,4
8,8,4
8,10,4
8,6,4
8,14,6
8,8,4
