4,4
6,6
4,4
4,4
6,6
8,4
6,4
6,4
8,6
6,6
6,6
6,4
6,8
6,4
4,4
6,4
8,4
4,4
6,6
4,4
6,4
8,4
6,6
6,4
4,4
4,4
4,4
6,6
6,6
4,4
4,4
4,2
6,4
6,6
4,4
4,4
6,6
4,4
4,4
4,4
4,4
8,4
6,4
4,4
4,4
6,4
6,6
4,4
6,6
4,4
4,4
4,4
6,6
6,6
4,4
6,4
4,4
4,4
6,6
4,4
4,4
4,4
4,4
4,4
4,4
6,6
4,4
6,6
4,4
4,4
4,4
4,4
4,4
6,6
6,6
4,4
4,6
8,6
4,4
6,4
10,6
6,4
4,4
6,4
6,6
6,6
4,4
6,4
8,6
4,6
4,4
4,4
4,4
4,4
4,4
8,6
10,4
4,4
4,4
4,4
4,4
4,4
8,6
6,4
6,6
6,4
6,6
8,6
6,4
4,4
6,4
4,2
8,6
8,6
4,4
8,4
6,6
4,4
8,6
4,4
8,6
6,6
4,4
4,4
4,4
6,4
4,4
6,4
4,4
4,4
6,6
4,4
6,4
4,4
4,4
4,6
6,6
6,4
4,4
4,4
4,4
4,4
4,2
4,4
6,6
6,6
6,4
6,4
10,6
6,6
8,4
6,6
4,4
4,4
4,4
6,6
6,4
4,4
4,4
6,4
4,4
4,4
4,4
4,4
4,4
6,6
8,4
6,6
4,4
10,6
4,4
6,4
10,4
6,4
6,6
4,4
4,4
6,6
6,4
4,4
4,4
4,4
4,4
6,6
6,4
4,4
4,4
4,4
6,6
4,4
4,4
6,6
6,6
4,4
6,4
6,4
6,4
4,4
6,6
4,4
6,4
6,6
6,4
4,4
4,4
4,4
6,4
4,4
4,4
6,4
8,4
4,6
8,4
4,4
12,6
4,4
6,4
6,4
4,4
6,4
6,4
8,4
6,4
4,4
6,6
4,4
6,4
6,4
4,4
4,4
4,4
4,4
6,6
4,4
6,4
4,4
4,4
8,6
4,4
6,4
4,4
6,4
4,4
6,6
4,4
4,4
6,6
6,6
4,4
6,6
4,4
4,4
10,8
4,4
6,4
6,4
4,4
4,4
4,4
6,6
6,4
10,8
4,4
8,4
4,4
6,6
4,4
6,8
10,6
4,4
4,4
4,4
4,4
6,6
6,4
6,4
4,4
6,4
4,4
4,4
6,4
8,6
6,4
6,6
4,4
8,6
4,4
4,4
6,6
6,6
6,6
4,4
2,2
6,4
6,4
4,4
4,4
4,4
6,4
6,6
4,4
6,4
4,4
4,4
4,4
6,4
4,4
6,6
6,6
6,4
6,6
6,6
4,6
6,4
6,6
4,4
6,4
6,6
6,4
4,4
4,4
6,6
6,6
6,6
4,4
8,6
6,6
4,4
12,6
6,6
4,4
4,4
6,6
6,4
6,4
6,4
4,4
6,6
6,6
4,4
4,6
4,4
4,4
4,4
6,6
6,4
4,4
6,6
8,6
4,4
6,6
6,6
4,4
6,8
6,4
6,4
4,4
4,2
8,4
8,6
6,4
6,6
4,4
4,4
4,4
6,4
6,6
8,6
4,4
4,4
6,4
6,4
6,6
6,4
8,4
4,4
4,4
6,4
6,4
4,4
6,4
6,4
6,4
6,6
4,4
6,4
6,6
4,4
8,8
8,6
6,4
6,4
10,6
4,4
6,4
4,4
4,4
4,4
4,4
8,6
6,8
6,4
4,4
4,4
6,6
6,6
4,4
4,6
4,6
8,6
6,6
4,4
4,4
6,6
4,4
6,6
6,8
6,4
4,4
6,6
4,4
4,4
4,4
4,4
6,4
6,4
4,4
6,6
6,4
4,4
4,4
6,6
4,4
4,4
4,4
4,4
10,6
6,6
6,6
8,4
6,6
4,2
6,6
6,4
6,6
8,6
6,4
6,6
4,6
6,4
6,4
4,4
6,6
4,4
6,6
6,4
6,4
4,4
6,6
4,4
4,4
6,6
4,4
4,4
4,4
4,4
6,4
6,4
6,4
4,4
4,4
6,4
6,6
6,4
6,4
8,6
6,6
6,4
4,4
4,2
6,6
4,4
4,4
4,4
4,4
4,4
4,4
6,4
4,4
4,4
6,4
6,6
6,4
6,4
6,4
6,4
4,6
6,6
6,6
4,4
6,4
4,4
6,4
4,6
6,6
4,4
10,6
6,6
4,4
4,4
4,4
4,4
4,4
4,4
4,4
6,6
8,6
4,4
6,4
4,4
4,6
6,4
8,6
4,4
4,4
4,4
6,4
4,4
4,4
6,4
4,4
4,4
6,6
4,4
6,4
4,4
4,4
4,4
4,4
6,4
6,4
4,4
4,4
6,6
6,6
4,4
4,4
4,4
4,4
4,4
2,2
4,4
4,4
6,6
6,6
4,4
6,6
6,4
4,4
4,4
4,4
6,4
4,4
4,4
4,4
4,4
4,4
4,4
6,6
8,4
6,6
4,4
4,4
6,4
6,4
6,4
6,4
6,4
4,4
6,4
6,6
4,4
4,4
10,6
8,4
4,4
4,4
6,4
10,6
6,6
8,6
6,4
4,4
4,4
6,6
6,6
6,4
6,4
6,4
6,4
4,4
4,4
4,4
6,6
6,8
4,4
4,4
6,4
6,4
4,4
4,6
4,4
4,4
4,4
4,4
6,6
4,4
6,6
4,4
4,6
6,6
4,4
6,6
6,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
6,4
10,8
4,4
4,4
4,4
6,8
4,4
4,4
6,4
6,4
4,4
6,6
4,4
6,4
4,4
4,4
4,4
6,4
6,6
4,4
6,6
6,6
6,4
6,4
6,4
4,4
4,4
8,4
6,4
6,4
6,6
4,4
4,4
8,6
8,6
4,4
6,4
4,6
4,4
6,4
6,6
6,4
6,4
6,6
6,4
4,4
4,4
6,6
4,4
4,4
4,4
6,4
4,4
6,4
4,4
6,6
4,4
4,4
4,4
6,4
4,4
6,4
6,6
6,6
6,4
4,4
6,4
4,4
10,6
6,4
8,6
6,6
6,4
4,4
4,4
6,4
4,4
6,4
8,6
4,4
6,6
6,4
8,4
4,4
6,4
8,6
4,4
6,6
4,4
4,4
4,4
6,4
6,6
6,6
6,4
6,4
4,4
4,4
4,4
4,4
4,4
6,4
6,4
4,4
6,6
4,4
4,4
6,4
8,6
8,6
6,4
6,6
6,4
6,6
6,4
6,4
6,4
4,4
6,4
6,4
4,4
4,4
4,4
4,4
6,6
6,6
4,4
6,4
4,4
4,4
6,6
6,6
6,6
6,6
4,4
4,4
4,4
6,6
4,4
4,4
4,4
4,4
6,6
4,4
4,4
4,4
6,4
6,4
4,4
6,6
4,4
6,6
6,4
6,4
6,4
4,4
4,4
6,6
4,4
4,6
6,6
6,4
4,4
6,4
8,6
4,4
4,4
4,4
4,4
4,4
8,6
4,4
6,4
6,4
4,4
4,4
6,6
4,4
4,4
6,4
4,4
6,6
4,4
6,6
8,4
6,4
4,4
10,6
6,4
4,4
6,6
4,4
8,6
6,4
6,6
6,6
4,4
4,4
4,4
4,2
4,4
4,4
4,4
6,4
6,4
4,4
6,4
4,4
4,4
4,4
6,4
4,4
6,6
8,6
6,4
6,4
4,4
4,4
6,6
8,6
8,6
4,4
4,4
6,4
6,6
4,4
4,4
4,4
4,4
6,4
4,4
4,4
8,6
12,6
6,6
6,6
6,4
4,4
6,4
8,8
4,4
4,6
6,4
4,4
8,6
8,4
4,4
4,6
6,4
6,6
6,4
4,4
4,4
6,4
6,4
6,6
6,6
4,4
6,4
10,8
6,4
6,6
4,4
4,4
4,4
4,4
8,6
6,6
4,4
4,4
4,4
4,4
6,4
6,6
4,4
4,4
4,4
8,6
4,6
6,6
4,4
6,4
4,4
4,4
4,4
6,4
6,4
6,6
10,6
6,4
4,4
4,4
6,4
4,4
4,4
4,4
6,6
4,4
4,4
4,4
6,4
4,4
6,6
6,4
4,4
6,6
4,4
6,4
6,4
6,6
6,6
4,4
4,4
4,4
4,4
4,4
6,4
6,6
4,4
4,4
6,4
6,4
6,4
4,4
6,6
4,4
6,4
4,4
6,6
6,4
4,2
4,4
4,4
4,4
4,4
4,4
6,6
6,4
6,4
6,6
4,4
4,4
4,4
6,6
6,6
4,4
4,4
4,4
6,6
4,6
4,4
4,4
4,4
4,4
4,4
4,6
4,4
6,6
8,6
6,6
8,6
6,6
6,6
4,4
8,6
8,8
4,4
6,4
8,8
