6,6
18,18
8,8
8,8
8,14
10,10
8,8
6,6
6,6
16,16
8,8
12,12
6,8
8,10
12,16
4,6
6,6
6,8
16,16
16,16
6,8
6,6
8,8
8,10
10,10
8,8
18,18
8,10
16,18
10,10
10,10
6,6
12,16
8,8
10,10
10,10
6,8
8,8
8,8
6,6
6,6
8,8
10,10
6,6
8,10
6,10
8,8
6,6
8,8
14,16
6,6
10,12
8,10
6,8
6,6
6,6
8,8
8,8
8,8
8,12
8,12
8,14
12,12
10,12
8,8
12,12
6,6
6,6
6,6
8,8
10,10
8,8
6,6
8,8
6,8
8,8
10,10
10,10
6,6
8,6
10,10
6,12
6,6
8,8
6,6
8,8
6,8
8,8
10,12
6,6
12,12
10,10
10,10
8,8
8,8
8,6
8,8
6,6
6,8
10,10
6,6
6,6
8,10
6,6
6,6
8,8
16,16
10,10
8,8
16,16
6,6
6,8
8,6
8,8
8,8
8,8
8,10
18,18
8,8
12,12
8,8
6,10
6,6
8,8
10,10
8,10
12,12
8,8
8,8
10,10
8,8
6,6
6,6
6,6
8,10
6,8
8,8
8,8
8,8
6,6
6,6
4,6
10,10
8,8
6,6
8,8
6,8
14,16
10,10
14,14
8,10
10,10
8,8
10,10
6,6
6,6
6,6
10,10
6,10
10,10
10,10
8,8
6,6
8,8
8,8
6,8
6,6
14,14
8,8
10,12
8,8
12,12
12,12
8,8
8,8
8,8
10,10
10,10
8,8
8,8
6,6
8,8
8,8
6,8
10,10
12,10
14,14
6,6
8,8
8,8
6,6
8,14
6,6
8,8
6,6
8,8
16,16
16,16
8,8
6,8
8,8
8,8
14,14
8,8
8,8
6,6
6,6
6,6
18,16
8,8
14,14
8,8
10,10
8,8
8,8
8,8
6,6
6,6
8,8
8,8
6,6
8,8
6,6
8,8
10,10
8,8
10,14
6,6
8,8
10,14
6,6
6,6
8,6
8,8
8,8
6,6
10,10
10,10
10,10
8,10
6,6
8,8
8,8
6,6
8,8
10,10
8,8
6,8
8,8
6,6
6,6
6,6
8,8
8,8
8,8
6,10
14,14
6,6
6,10
12,12
6,10
8,8
8,8
8,8
8,8
16,16
10,10
8,10
12,12
8,8
8,8
6,6
8,8
8,8
10,12
6,6
6,8
12,12
8,8
8,6
8,8
8,8
12,12
8,12
8,12
12,16
10,10
4,4
8,12
6,6
6,6
8,8
6,6
8,8
6,8
6,6
12,14
6,6
6,6
8,8
14,14
8,8
6,8
8,8
10,10
10,10
12,18
6,6
10,14
14,14
8,8
6,6
10,10
12,12
6,6
4,4
8,8
8,8
6,6
8,8
8,8
6,6
6,6
6,6
8,8
10,8
8,8
10,10
6,6
8,8
6,6
8,8
8,8
6,6
10,10
12,16
8,8
8,8
8,8
8,8
6,6
10,10
6,6
6,6
6,6
10,10
6,6
6,6
12,12
8,8
6,6
8,8
12,12
8,8
8,8
8,10
8,8
10,14
6,6
8,8
10,10
6,8
6,10
8,8
6,8
6,6
12,12
8,8
8,8
8,8
6,8
18,18
8,8
6,6
8,8
8,8
10,12
8,8
12,12
6,6
14,14
8,8
8,8
8,10
6,6
8,10
6,6
10,10
12,14
6,8
16,16
6,6
6,6
12,12
4,4
10,10
6,6
12,16
6,6
10,10
8,8
6,8
8,8
8,10
6,6
6,6
6,6
6,8
8,8
8,12
8,8
12,10
6,6
6,6
8,8
6,6
10,10
12,12
6,8
8,8
10,10
12,12
8,8
8,8
6,6
10,10
6,6
8,10
10,12
8,8
12,12
8,8
6,8
10,10
16,16
8,8
10,10
6,6
6,6
8,8
12,12
10,10
10,10
8,8
10,10
8,8
10,12
8,8
8,8
6,6
20,20
8,8
8,8
6,8
8,8
10,10
6,8
8,10
10,12
8,8
10,10
8,8
8,8
8,8
6,6
8,8
12,16
6,6
8,10
8,8
8,8
8,8
8,8
8,8
8,8
8,12
10,10
14,14
14,20
8,8
10,10
8,8
8,8
12,12
8,8
6,6
10,10
8,8
6,6
8,12
8,8
10,12
8,8
6,6
8,8
8,8
10,10
12,12
8,8
10,10
10,10
8,10
8,10
8,8
8,8
8,8
6,6
6,8
6,8
10,10
8,6
8,8
6,6
14,14
6,8
10,10
12,12
8,8
6,6
10,10
6,6
8,8
6,6
6,6
8,8
14,14
8,8
12,12
8,10
4,6
6,6
6,6
6,6
6,8
8,6
8,8
8,10
8,8
8,8
6,6
6,6
6,6
14,14
14,12
12,12
8,8
10,10
8,8
8,8
6,8
8,8
8,12
8,14
6,6
6,8
6,8
10,10
8,8
8,12
10,10
8,8
8,8
10,14
6,8
10,10
8,10
8,8
10,10
8,8
6,8
6,8
8,8
12,12
8,8
6,6
8,10
6,6
10,10
14,14
10,10
8,8
8,8
6,6
8,8
6,8
8,8
6,6
6,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
6,6
6,6
6,8
6,6
8,8
8,8
6,6
8,8
6,6
10,10
14,14
8,8
8,10
8,8
6,6
10,10
8,10
14,14
6,8
6,6
8,10
8,10
8,8
6,6
8,8
6,6
12,12
6,6
8,8
8,8
12,14
14,14
8,8
8,8
12,12
6,8
8,10
14,14
8,8
10,10
10,10
6,8
8,8
6,6
8,10
8,8
8,8
8,6
8,8
10,10
6,8
14,16
6,6
6,8
8,8
8,10
10,10
10,10
6,6
8,8
6,8
10,10
8,8
6,6
8,8
6,6
8,14
8,10
16,16
4,4
10,10
14,16
10,10
6,6
6,6
14,14
8,10
16,16
6,6
6,10
8,8
8,8
8,10
6,8
8,8
8,8
6,6
8,8
6,6
14,14
6,8
6,6
8,8
10,10
6,6
10,10
8,8
6,8
10,10
8,8
6,6
6,6
10,16
8,10
8,8
4,4
12,12
14,14
6,6
10,10
8,8
8,8
6,6
8,8
6,6
6,6
8,8
10,10
6,6
10,10
8,8
10,10
8,8
12,12
12,12
6,8
8,10
8,12
8,8
8,10
6,8
8,8
6,8
10,12
6,8
8,8
6,6
18,18
6,8
14,14
6,6
8,8
8,8
6,6
6,6
6,6
14,14
8,8
8,8
8,8
6,6
8,10
8,8
14,14
4,4
6,8
6,6
8,8
8,8
6,6
6,6
8,8
10,10
6,6
14,14
6,6
8,8
6,8
6,6
8,8
10,10
6,6
8,8
8,8
10,10
8,8
16,16
6,6
8,8
8,10
8,8
8,10
6,8
6,6
8,8
6,6
8,8
6,6
12,12
8,8
8,10
8,8
6,6
8,10
8,8
8,8
8,8
8,8
8,8
6,6
10,10
12,14
8,8
8,8
8,10
10,12
10,14
8,8
14,14
12,12
6,6
8,8
6,6
10,8
8,12
8,8
10,10
6,6
6,6
6,10
6,6
8,12
8,10
12,12
6,6
8,10
8,8
8,8
6,8
16,16
10,10
8,8
6,6
8,8
8,8
6,6
6,6
8,10
8,8
6,6
8,10
8,8
12,12
10,10
8,8
8,8
8,8
18,18
10,10
6,8
10,10
6,6
6,8
8,8
10,10
10,10
16,16
10,10
10,12
8,8
6,10
8,10
10,14
8,6
8,8
10,10
6,6
6,6
8,8
8,8
8,8
12,12
8,8
6,8
16,14
14,14
10,12
8,8
10,10
6,6
8,8
6,6
10,12
8,8
14,14
10,10
10,10
16,16
14,14
12,12
8,8
8,12
8,10
6,8
8,8
12,12
6,6
8,14
6,8
8,8
14,14
10,16
8,8
10,12
6,8
8,8
8,8
6,8
8,8
6,8
12,12
6,8
8,8
8,12
8,8
6,8
6,6
6,6
8,10
6,8
10,10
10,10
8,10
8,8
8,8
8,8
8,8
10,10
8,10
10,12
8,8
6,6
6,6
8,10
8,8
8,8
8,8
6,6
8,8
6,6
10,10
14,14
6,6
8,8
8,8
6,6
6,8
8,8
8,8
12,12
12,12
8,8
14,14
10,10
6,6
6,6
6,6
6,10
8,8
10,10
8,8
8,12
8,8
6,6
10,10
10,10
14,14
8,8
8,8
6,6
10,10
6,8
12,12
8,8
6,6
8,8
10,10
8,8
6,6
6,6
10,10
6,6
8,6
8,10
8,8
8,8
8,8
8,8
6,6
8,8
6,8
10,12
6,6
8,10
8,8
8,8
6,6
6,6
10,10
8,8
8,8
6,6
8,8
12,12
